2023-11-21 13:43:07,911 | INFO | "finetune_model.py::line-139 | Device Type: gpu
2023-11-21 13:43:07,913 | INFO | "finetune_model.py::line-184 | Current Configuration args: Namespace(log_file='logs/datasets/log.log', model_id='Salesforce/blip2-opt-2.7b', cache_dir='/gscratch/scrubbed/briggs3/.cache/', data_path='/mmfs1/gscratch/scrubbed/briggs3/data/flickr8k/datasets/data.pkl', device='gpu')
2023-11-21 13:43:07,916 | INFO | "finetune_model.py::line-186 | Quantizing Pre-trained model...
2023-11-21 13:43:07,922 | DEBUG | "connectionpool.py::line-1052 | Starting new HTTPS connection (1): huggingface.co:443
2023-11-21 13:43:11,262 | DEBUG | "connectionpool.py::line-546 | https://huggingface.co:443 "HEAD /Salesforce/blip2-opt-2.7b/resolve/main/preprocessor_config.json HTTP/1.1" 200 0
2023-11-21 13:43:11,356 | DEBUG | "connectionpool.py::line-546 | https://huggingface.co:443 "HEAD /Salesforce/blip2-opt-2.7b/resolve/main/preprocessor_config.json HTTP/1.1" 200 0
2023-11-21 13:43:11,529 | DEBUG | "connectionpool.py::line-546 | https://huggingface.co:443 "HEAD /Salesforce/blip2-opt-2.7b/resolve/main/preprocessor_config.json HTTP/1.1" 200 0
2023-11-21 13:43:11,673 | DEBUG | "connectionpool.py::line-546 | https://huggingface.co:443 "HEAD /Salesforce/blip2-opt-2.7b/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2023-11-21 13:43:12,442 | INFO | "finetune_model.py::line-78 | Configuring 4bit double quantization
2023-11-21 13:43:12,594 | DEBUG | "connectionpool.py::line-546 | https://huggingface.co:443 "HEAD /Salesforce/blip2-opt-2.7b/resolve/main/config.json HTTP/1.1" 200 0
2023-11-21 13:43:12,675 | DEBUG | "connectionpool.py::line-546 | https://huggingface.co:443 "HEAD /Salesforce/blip2-opt-2.7b/resolve/main/config.json HTTP/1.1" 200 0
2023-11-21 13:45:08,301 | DEBUG | "connectionpool.py::line-546 | https://huggingface.co:443 "HEAD /Salesforce/blip2-opt-2.7b/resolve/main/generation_config.json HTTP/1.1" 404 0
